center,left,right,steering,throttle,brake,speed
IMG_Cropped/center_2016_12_01_13_30_48_287.jpg,IMG_Cropped/left_2016_12_01_13_30_48_287.jpg,IMG_Cropped/right_2016_12_01_13_30_48_287.jpg,0,0,0,22.14829
IMG_Cropped/center_2016_12_01_13_31_13_037.jpg,IMG_Cropped/left_2016_12_01_13_31_13_037.jpg,IMG_Cropped/right_2016_12_01_13_31_13_037.jpg,0,0,0,1.438419
IMG_Cropped/center_2016_12_01_13_31_13_482.jpg,IMG_Cropped/left_2016_12_01_13_31_13_482.jpg,IMG_Cropped/right_2016_12_01_13_31_13_482.jpg,0,0,0,1.375934
IMG_Cropped/center_2016_12_01_13_31_13_991.jpg,IMG_Cropped/left_2016_12_01_13_31_13_991.jpg,IMG_Cropped/right_2016_12_01_13_31_13_991.jpg,0,0,0,1.305575
IMG_Cropped/center_2016_12_01_13_31_14_904.jpg,IMG_Cropped/left_2016_12_01_13_31_14_904.jpg,IMG_Cropped/right_2016_12_01_13_31_14_904.jpg,0,0,0,1.194345
IMG_Cropped/center_2016_12_01_13_31_15_208.jpg,IMG_Cropped/left_2016_12_01_13_31_15_208.jpg,IMG_Cropped/right_2016_12_01_13_31_15_208.jpg,0,0,0,1.156378
IMG_Cropped/center_2016_12_01_13_31_15_308.jpg,IMG_Cropped/left_2016_12_01_13_31_15_308.jpg,IMG_Cropped/right_2016_12_01_13_31_15_308.jpg,0,0,0,1.144761
IMG_Cropped/center_2016_12_01_13_31_15_411.jpg,IMG_Cropped/left_2016_12_01_13_31_15_411.jpg,IMG_Cropped/right_2016_12_01_13_31_15_411.jpg,0,0,0,1.13326
IMG_Cropped/center_2016_12_01_13_32_35_588.jpg,IMG_Cropped/left_2016_12_01_13_32_35_588.jpg,IMG_Cropped/right_2016_12_01_13_32_35_588.jpg,0,0,0,1.087376
IMG_Cropped/center_2016_12_01_13_32_42_952.jpg,IMG_Cropped/left_2016_12_01_13_32_42_952.jpg,IMG_Cropped/right_2016_12_01_13_32_42_952.jpg,0,0,0,0.5179049
IMG_Cropped/center_2016_12_01_13_32_43_457.jpg,IMG_Cropped/left_2016_12_01_13_32_43_457.jpg,IMG_Cropped/right_2016_12_01_13_32_43_457.jpg,0.0617599,0.9855326,0,2.124567
IMG_Cropped/center_2016_12_01_13_32_43_558.jpg,IMG_Cropped/left_2016_12_01_13_32_43_558.jpg,IMG_Cropped/right_2016_12_01_13_32_43_558.jpg,0.05219137,0.9855326,0,3.286475
IMG_Cropped/center_2016_12_01_13_32_43_659.jpg,IMG_Cropped/left_2016_12_01_13_32_43_659.jpg,IMG_Cropped/right_2016_12_01_13_32_43_659.jpg,0.05219137,0.9855326,0,4.440864
IMG_Cropped/center_2016_12_01_13_32_43_761.jpg,IMG_Cropped/left_2016_12_01_13_32_43_761.jpg,IMG_Cropped/right_2016_12_01_13_32_43_761.jpg,0.3679529,0.9855326,0,5.565724
IMG_Cropped/center_2016_12_01_13_32_43_862.jpg,IMG_Cropped/left_2016_12_01_13_32_43_862.jpg,IMG_Cropped/right_2016_12_01_13_32_43_862.jpg,0.5784606,0.9855326,0,6.626935
IMG_Cropped/center_2016_12_01_13_32_43_963.jpg,IMG_Cropped/left_2016_12_01_13_32_43_963.jpg,IMG_Cropped/right_2016_12_01_13_32_43_963.jpg,0.5784606,0.9855326,0,7.730138
IMG_Cropped/center_2016_12_01_13_32_44_064.jpg,IMG_Cropped/left_2016_12_01_13_32_44_064.jpg,IMG_Cropped/right_2016_12_01_13_32_44_064.jpg,0.1670138,0.9855326,0,8.83677
IMG_Cropped/center_2016_12_01_13_32_44_165.jpg,IMG_Cropped/left_2016_12_01_13_32_44_165.jpg,IMG_Cropped/right_2016_12_01_13_32_44_165.jpg,0,0.9855326,0,9.903404
IMG_Cropped/center_2016_12_01_13_32_45_275.jpg,IMG_Cropped/left_2016_12_01_13_32_45_275.jpg,IMG_Cropped/right_2016_12_01_13_32_45_275.jpg,0.08089697,0.9855326,0,21.52514
IMG_Cropped/center_2016_12_01_13_32_45_377.jpg,IMG_Cropped/left_2016_12_01_13_32_45_377.jpg,IMG_Cropped/right_2016_12_01_13_32_45_377.jpg,0.0904655,0.9855326,0,22.49719
IMG_Cropped/center_2016_12_01_13_32_45_477.jpg,IMG_Cropped/left_2016_12_01_13_32_45_477.jpg,IMG_Cropped/right_2016_12_01_13_32_45_477.jpg,0.0904655,0.9855326,0,23.45835
IMG_Cropped/center_2016_12_01_13_32_45_578.jpg,IMG_Cropped/left_2016_12_01_13_32_45_578.jpg,IMG_Cropped/right_2016_12_01_13_32_45_578.jpg,0.1574452,0.9855326,0,24.40969
IMG_Cropped/center_2016_12_01_13_32_45_679.jpg,IMG_Cropped/left_2016_12_01_13_32_45_679.jpg,IMG_Cropped/right_2016_12_01_13_32_45_679.jpg,0.1765823,0.9855326,0,25.34023
IMG_Cropped/center_2016_12_01_13_32_45_780.jpg,IMG_Cropped/left_2016_12_01_13_32_45_780.jpg,IMG_Cropped/right_2016_12_01_13_32_45_780.jpg,0.1765823,0.9855326,0,26.26871
IMG_Cropped/center_2016_12_01_13_32_45_881.jpg,IMG_Cropped/left_2016_12_01_13_32_45_881.jpg,IMG_Cropped/right_2016_12_01_13_32_45_881.jpg,0,0.9855326,0,27.19565
IMG_Cropped/center_2016_12_01_13_32_45_982.jpg,IMG_Cropped/left_2016_12_01_13_32_45_982.jpg,IMG_Cropped/right_2016_12_01_13_32_45_982.jpg,0,0.9855326,0,28.11004
IMG_Cropped/center_2016_12_01_13_32_46_185.jpg,IMG_Cropped/left_2016_12_01_13_32_46_185.jpg,IMG_Cropped/right_2016_12_01_13_32_46_185.jpg,-0.0787459,0.9855326,0,29.91009
IMG_Cropped/center_2016_12_01_13_32_46_285.jpg,IMG_Cropped/left_2016_12_01_13_32_46_285.jpg,IMG_Cropped/right_2016_12_01_13_32_46_285.jpg,-0.0787459,0.9855326,0,30.18595
IMG_Cropped/center_2016_12_01_13_32_46_385.jpg,IMG_Cropped/left_2016_12_01_13_32_46_385.jpg,IMG_Cropped/right_2016_12_01_13_32_46_385.jpg,-0.0787459,0.9855326,0,30.18617
IMG_Cropped/center_2016_12_01_13_32_46_486.jpg,IMG_Cropped/left_2016_12_01_13_32_46_486.jpg,IMG_Cropped/right_2016_12_01_13_32_46_486.jpg,-0.0787459,0.9855326,0,30.18633
IMG_Cropped/center_2016_12_01_13_32_46_991.jpg,IMG_Cropped/left_2016_12_01_13_32_46_991.jpg,IMG_Cropped/right_2016_12_01_13_32_46_991.jpg,0.05219137,0.9855326,0,30.18593
IMG_Cropped/center_2016_12_01_13_32_47_091.jpg,IMG_Cropped/left_2016_12_01_13_32_47_091.jpg,IMG_Cropped/right_2016_12_01_13_32_47_091.jpg,0.05219137,0.9855326,0,30.18629
IMG_Cropped/center_2016_12_01_13_32_47_192.jpg,IMG_Cropped/left_2016_12_01_13_32_47_192.jpg,IMG_Cropped/right_2016_12_01_13_32_47_192.jpg,0.0904655,0.9855326,0,30.08726
IMG_Cropped/center_2016_12_01_13_32_47_293.jpg,IMG_Cropped/left_2016_12_01_13_32_47_293.jpg,IMG_Cropped/right_2016_12_01_13_32_47_293.jpg,0.38709,0.9855326,0,30.18586
IMG_Cropped/center_2016_12_01_13_32_47_394.jpg,IMG_Cropped/left_2016_12_01_13_32_47_394.jpg,IMG_Cropped/right_2016_12_01_13_32_47_394.jpg,0.3583844,0.9855326,0,30.0653
IMG_Cropped/center_2016_12_01_13_32_47_495.jpg,IMG_Cropped/left_2016_12_01_13_32_47_495.jpg,IMG_Cropped/right_2016_12_01_13_32_47_495.jpg,0.05219137,0.9855326,0,30.20486
IMG_Cropped/center_2016_12_01_13_32_48_098.jpg,IMG_Cropped/left_2016_12_01_13_32_48_098.jpg,IMG_Cropped/right_2016_12_01_13_32_48_098.jpg,-0.03127411,0.9855326,0,30.1869
IMG_Cropped/center_2016_12_01_13_32_48_200.jpg,IMG_Cropped/left_2016_12_01_13_32_48_200.jpg,IMG_Cropped/right_2016_12_01_13_32_48_200.jpg,-0.05975719,0.9855326,0,30.1865
IMG_Cropped/center_2016_12_01_13_32_48_302.jpg,IMG_Cropped/left_2016_12_01_13_32_48_302.jpg,IMG_Cropped/right_2016_12_01_13_32_48_302.jpg,-0.05975719,0.9855326,0,30.18676
IMG_Cropped/center_2016_12_01_13_32_48_402.jpg,IMG_Cropped/left_2016_12_01_13_32_48_402.jpg,IMG_Cropped/right_2016_12_01_13_32_48_402.jpg,-0.05975719,0.9855326,0,30.18687
IMG_Cropped/center_2016_12_01_13_32_48_503.jpg,IMG_Cropped/left_2016_12_01_13_32_48_503.jpg,IMG_Cropped/right_2016_12_01_13_32_48_503.jpg,-0.05975719,0.9855326,0,30.18692
IMG_Cropped/center_2016_12_01_13_32_48_604.jpg,IMG_Cropped/left_2016_12_01_13_32_48_604.jpg,IMG_Cropped/right_2016_12_01_13_32_48_604.jpg,-0.05975719,0.9855326,0,30.18694
IMG_Cropped/center_2016_12_01_13_32_48_705.jpg,IMG_Cropped/left_2016_12_01_13_32_48_705.jpg,IMG_Cropped/right_2016_12_01_13_32_48_705.jpg,-0.05975719,0.9855326,0,30.18695
IMG_Cropped/center_2016_12_01_13_32_48_805.jpg,IMG_Cropped/left_2016_12_01_13_32_48_805.jpg,IMG_Cropped/right_2016_12_01_13_32_48_805.jpg,-0.05975719,0.9855326,0,30.18692
IMG_Cropped/center_2016_12_01_13_32_48_906.jpg,IMG_Cropped/left_2016_12_01_13_32_48_906.jpg,IMG_Cropped/right_2016_12_01_13_32_48_906.jpg,-0.05975719,0.9855326,0,30.18688
IMG_Cropped/center_2016_12_01_13_32_49_008.jpg,IMG_Cropped/left_2016_12_01_13_32_49_008.jpg,IMG_Cropped/right_2016_12_01_13_32_49_008.jpg,-0.05975719,0.9855326,0,30.18689
IMG_Cropped/center_2016_12_01_13_32_49_109.jpg,IMG_Cropped/left_2016_12_01_13_32_49_109.jpg,IMG_Cropped/right_2016_12_01_13_32_49_109.jpg,-0.05975719,0.9855326,0,30.18686
IMG_Cropped/center_2016_12_01_13_32_49_210.jpg,IMG_Cropped/left_2016_12_01_13_32_49_210.jpg,IMG_Cropped/right_2016_12_01_13_32_49_210.jpg,-0.04076847,0.9855326,0,30.18702
IMG_Cropped/center_2016_12_01_13_32_49_311.jpg,IMG_Cropped/left_2016_12_01_13_32_49_311.jpg,IMG_Cropped/right_2016_12_01_13_32_49_311.jpg,0,0.9855326,0,30.18685
IMG_Cropped/center_2016_12_01_13_32_49_514.jpg,IMG_Cropped/left_2016_12_01_13_32_49_514.jpg,IMG_Cropped/right_2016_12_01_13_32_49_514.jpg,0.01391724,0.9855326,0,30.18683
IMG_Cropped/center_2016_12_01_13_32_49_615.jpg,IMG_Cropped/left_2016_12_01_13_32_49_615.jpg,IMG_Cropped/right_2016_12_01_13_32_49_615.jpg,0.01391724,0.9855326,0,30.18687
IMG_Cropped/center_2016_12_01_13_32_49_715.jpg,IMG_Cropped/left_2016_12_01_13_32_49_715.jpg,IMG_Cropped/right_2016_12_01_13_32_49_715.jpg,0.01391724,0.9855326,0,30.1869
IMG_Cropped/center_2016_12_01_13_32_51_235.jpg,IMG_Cropped/left_2016_12_01_13_32_51_235.jpg,IMG_Cropped/right_2016_12_01_13_32_51_235.jpg,0,0.9855326,0,30.18692
IMG_Cropped/center_2016_12_01_13_32_51_437.jpg,IMG_Cropped/left_2016_12_01_13_32_51_437.jpg,IMG_Cropped/right_2016_12_01_13_32_51_437.jpg,0.01391724,0.9855326,0,30.18687
IMG_Cropped/center_2016_12_01_13_32_51_538.jpg,IMG_Cropped/left_2016_12_01_13_32_51_538.jpg,IMG_Cropped/right_2016_12_01_13_32_51_538.jpg,0.1287396,0.9855326,0,30.18258
IMG_Cropped/center_2016_12_01_13_32_51_639.jpg,IMG_Cropped/left_2016_12_01_13_32_51_639.jpg,IMG_Cropped/right_2016_12_01_13_32_51_639.jpg,0.2148564,0.9855326,0,30.17934
IMG_Cropped/center_2016_12_01_13_32_51_740.jpg,IMG_Cropped/left_2016_12_01_13_32_51_740.jpg,IMG_Cropped/right_2016_12_01_13_32_51_740.jpg,0.2148564,0.9855326,0,30.18322
IMG_Cropped/center_2016_12_01_13_32_51_944.jpg,IMG_Cropped/left_2016_12_01_13_32_51_944.jpg,IMG_Cropped/right_2016_12_01_13_32_51_944.jpg,0,0.9855326,0,30.18683
IMG_Cropped/center_2016_12_01_13_32_52_045.jpg,IMG_Cropped/left_2016_12_01_13_32_52_045.jpg,IMG_Cropped/right_2016_12_01_13_32_52_045.jpg,0,0.9855326,0,30.18708
IMG_Cropped/center_2016_12_01_13_32_52_146.jpg,IMG_Cropped/left_2016_12_01_13_32_52_146.jpg,IMG_Cropped/right_2016_12_01_13_32_52_146.jpg,0,0.9855326,0,30.18709
IMG_Cropped/center_2016_12_01_13_32_52_350.jpg,IMG_Cropped/left_2016_12_01_13_32_52_350.jpg,IMG_Cropped/right_2016_12_01_13_32_52_350.jpg,-0.08824026,0.9855326,0,30.18482
