center,left,right,steering,throttle,brake,speed
IMG_Recovery/center_2017_02_22_22_04_49_055.jpg,IMG_Recovery/left_2017_02_22_22_04_49_055.jpg,IMG_Recovery/right_2017_02_22_22_04_49_055.jpg,0,0,0,0.8487507
IMG_Recovery/center_2017_02_22_22_04_49_169.jpg,IMG_Recovery/left_2017_02_22_22_04_49_169.jpg,IMG_Recovery/right_2017_02_22_22_04_49_169.jpg,0,0,0,0.8378828
IMG_Recovery/center_2017_02_22_22_04_49_291.jpg,IMG_Recovery/left_2017_02_22_22_04_49_291.jpg,IMG_Recovery/right_2017_02_22_22_04_49_291.jpg,0,0,0,0.8228515
IMG_Recovery/center_2017_02_22_22_04_49_400.jpg,IMG_Recovery/left_2017_02_22_22_04_49_400.jpg,IMG_Recovery/right_2017_02_22_22_04_49_400.jpg,0,0,0,0.8122452
IMG_Recovery/center_2017_02_22_22_04_49_513.jpg,IMG_Recovery/left_2017_02_22_22_04_49_513.jpg,IMG_Recovery/right_2017_02_22_22_04_49_513.jpg,0,0,0,0.7997385
IMG_Recovery/center_2017_02_22_22_04_49_653.jpg,IMG_Recovery/left_2017_02_22_22_04_49_653.jpg,IMG_Recovery/right_2017_02_22_22_04_49_653.jpg,-0.3609295,0.3028322,0,1.078421
IMG_Recovery/center_2017_02_22_22_04_49_770.jpg,IMG_Recovery/left_2017_02_22_22_04_49_770.jpg,IMG_Recovery/right_2017_02_22_22_04_49_770.jpg,-0.3609295,0.3706124,0,1.525861
IMG_Recovery/center_2017_02_22_22_04_49_865.jpg,IMG_Recovery/left_2017_02_22_22_04_49_865.jpg,IMG_Recovery/right_2017_02_22_22_04_49_865.jpg,-0.3609295,0.3706124,0,1.940112
IMG_Recovery/center_2017_02_22_22_04_49_980.jpg,IMG_Recovery/left_2017_02_22_22_04_49_980.jpg,IMG_Recovery/right_2017_02_22_22_04_49_980.jpg,-0.3609295,0.409344,0,2.48832
IMG_Recovery/center_2017_02_22_22_04_50_083.jpg,IMG_Recovery/left_2017_02_22_22_04_50_083.jpg,IMG_Recovery/right_2017_02_22_22_04_50_083.jpg,-0.3609295,0.409344,0,2.957254
IMG_Recovery/center_2017_02_22_22_04_50_192.jpg,IMG_Recovery/left_2017_02_22_22_04_50_192.jpg,IMG_Recovery/right_2017_02_22_22_04_50_192.jpg,-0.5158557,0.4287098,0,3.521984
IMG_Recovery/center_2017_02_22_22_04_50_307.jpg,IMG_Recovery/left_2017_02_22_22_04_50_307.jpg,IMG_Recovery/right_2017_02_22_22_04_50_307.jpg,-0.6030017,0.49649,0,4.020148
IMG_Recovery/center_2017_02_22_22_04_50_424.jpg,IMG_Recovery/left_2017_02_22_22_04_50_424.jpg,IMG_Recovery/right_2017_02_22_22_04_50_424.jpg,-0.6030017,0.5642702,0,4.722961
IMG_Recovery/center_2017_02_22_22_04_50_540.jpg,IMG_Recovery/left_2017_02_22_22_04_50_540.jpg,IMG_Recovery/right_2017_02_22_22_04_50_540.jpg,-0.5545873,0.5642702,0,5.483573
IMG_Recovery/center_2017_02_22_22_04_50_656.jpg,IMG_Recovery/left_2017_02_22_22_04_50_656.jpg,IMG_Recovery/right_2017_02_22_22_04_50_656.jpg,-0.5449044,0.5642702,0,6.232162
IMG_Recovery/center_2017_02_22_22_04_50_760.jpg,IMG_Recovery/left_2017_02_22_22_04_50_760.jpg,IMG_Recovery/right_2017_02_22_22_04_50_760.jpg,-0.5545873,0.5642702,0,6.845541
IMG_Recovery/center_2017_02_22_22_04_50_884.jpg,IMG_Recovery/left_2017_02_22_22_04_50_884.jpg,IMG_Recovery/right_2017_02_22_22_04_50_884.jpg,-0.5642702,0.5642702,0,7.572876
IMG_Recovery/center_2017_02_22_22_04_51_004.jpg,IMG_Recovery/left_2017_02_22_22_04_51_004.jpg,IMG_Recovery/right_2017_02_22_22_04_51_004.jpg,-0.6320504,0.5642702,0,8.280005
IMG_Recovery/center_2017_02_22_22_04_51_131.jpg,IMG_Recovery/left_2017_02_22_22_04_51_131.jpg,IMG_Recovery/right_2017_02_22_22_04_51_131.jpg,-0.6320504,0.5642702,0,9.102665
IMG_Recovery/center_2017_02_22_22_04_51_240.jpg,IMG_Recovery/left_2017_02_22_22_04_51_240.jpg,IMG_Recovery/right_2017_02_22_22_04_51_240.jpg,-0.6320504,0.5642702,0,9.68689
IMG_Recovery/center_2017_02_22_22_04_51_344.jpg,IMG_Recovery/left_2017_02_22_22_04_51_344.jpg,IMG_Recovery/right_2017_02_22_22_04_51_344.jpg,-0.6126846,0.5642702,0,10.26605
IMG_Recovery/center_2017_02_22_22_04_51_446.jpg,IMG_Recovery/left_2017_02_22_22_04_51_446.jpg,IMG_Recovery/right_2017_02_22_22_04_51_446.jpg,-0.5933188,0.5642702,0,10.84359
IMG_Recovery/center_2017_02_22_22_04_51_558.jpg,IMG_Recovery/left_2017_02_22_22_04_51_558.jpg,IMG_Recovery/right_2017_02_22_22_04_51_558.jpg,-0.4868071,0.5642702,0,11.437
IMG_Recovery/center_2017_02_22_22_04_51_682.jpg,IMG_Recovery/left_2017_02_22_22_04_51_682.jpg,IMG_Recovery/right_2017_02_22_22_04_51_682.jpg,-0.07044297,0.5642702,0,12.2048
IMG_Recovery/center_2017_02_22_22_04_51_807.jpg,IMG_Recovery/left_2017_02_22_22_04_51_807.jpg,IMG_Recovery/right_2017_02_22_22_04_51_807.jpg,0,0.5642702,0,12.71483
IMG_Recovery/center_2017_02_22_22_04_51_908.jpg,IMG_Recovery/left_2017_02_22_22_04_51_908.jpg,IMG_Recovery/right_2017_02_22_22_04_51_908.jpg,0,0.5545873,0,13.20869
IMG_Recovery/center_2017_02_22_22_04_52_013.jpg,IMG_Recovery/left_2017_02_22_22_04_52_013.jpg,IMG_Recovery/right_2017_02_22_22_04_52_013.jpg,0,0.5352215,0,13.93916
IMG_Recovery/center_2017_02_22_22_04_52_124.jpg,IMG_Recovery/left_2017_02_22_22_04_52_124.jpg,IMG_Recovery/right_2017_02_22_22_04_52_124.jpg,0,0.5352215,0,14.32049
IMG_Recovery/center_2017_02_22_22_04_52_267.jpg,IMG_Recovery/left_2017_02_22_22_04_52_267.jpg,IMG_Recovery/right_2017_02_22_22_04_52_267.jpg,0,0.5158557,0,15.12961
IMG_Recovery/center_2017_02_22_22_04_52_376.jpg,IMG_Recovery/left_2017_02_22_22_04_52_376.jpg,IMG_Recovery/right_2017_02_22_22_04_52_376.jpg,0,0.2641007,0,15.58912
IMG_Recovery/center_2017_02_22_22_04_52_503.jpg,IMG_Recovery/left_2017_02_22_22_04_52_503.jpg,IMG_Recovery/right_2017_02_22_22_04_52_503.jpg,0,0,0,15.44291
IMG_Recovery/center_2017_02_22_22_04_52_624.jpg,IMG_Recovery/left_2017_02_22_22_04_52_624.jpg,IMG_Recovery/right_2017_02_22_22_04_52_624.jpg,-0.02202855,0,0,15.28601
IMG_Recovery/center_2017_02_22_22_04_52_750.jpg,IMG_Recovery/left_2017_02_22_22_04_52_750.jpg,IMG_Recovery/right_2017_02_22_22_04_52_750.jpg,-0.322198,0,0,15.01662
IMG_Recovery/center_2017_02_22_22_04_52_861.jpg,IMG_Recovery/left_2017_02_22_22_04_52_861.jpg,IMG_Recovery/right_2017_02_22_22_04_52_861.jpg,-0.08980875,0,0,14.83678
IMG_Recovery/center_2017_02_22_22_04_52_983.jpg,IMG_Recovery/left_2017_02_22_22_04_52_983.jpg,IMG_Recovery/right_2017_02_22_22_04_52_983.jpg,0,0,0,14.67332
IMG_Recovery/center_2017_02_22_22_04_53_086.jpg,IMG_Recovery/left_2017_02_22_22_04_53_086.jpg,IMG_Recovery/right_2017_02_22_22_04_53_086.jpg,0,0,0,14.55505
IMG_Recovery/center_2017_02_22_22_04_53_189.jpg,IMG_Recovery/left_2017_02_22_22_04_53_189.jpg,IMG_Recovery/right_2017_02_22_22_04_53_189.jpg,0,0,0,14.37029
IMG_Recovery/center_2017_02_22_22_04_53_292.jpg,IMG_Recovery/left_2017_02_22_22_04_53_292.jpg,IMG_Recovery/right_2017_02_22_22_04_53_292.jpg,0,0,0,14.24245
