center,left,right,steering,throttle,brake,speed
IMG_Turns/center_2017_02_21_23_46_57_178.jpg,IMG_Turns/left_2017_02_21_23_46_57_178.jpg,IMG_Turns/right_2017_02_21_23_46_57_178.jpg,0,0,0,1.480634
IMG_Turns/center_2017_02_21_23_46_57_301.jpg,IMG_Turns/left_2017_02_21_23_46_57_301.jpg,IMG_Turns/right_2017_02_21_23_46_57_301.jpg,0,0,0,1.459871
IMG_Turns/center_2017_02_21_23_46_57_414.jpg,IMG_Turns/left_2017_02_21_23_46_57_414.jpg,IMG_Turns/right_2017_02_21_23_46_57_414.jpg,0,0,0,1.445219
IMG_Turns/center_2017_02_21_23_46_57_535.jpg,IMG_Turns/left_2017_02_21_23_46_57_535.jpg,IMG_Turns/right_2017_02_21_23_46_57_535.jpg,0,0,0,1.42783
IMG_Turns/center_2017_02_21_23_46_57_645.jpg,IMG_Turns/left_2017_02_21_23_46_57_645.jpg,IMG_Turns/right_2017_02_21_23_46_57_645.jpg,0,0,0,1.410651
IMG_Turns/center_2017_02_21_23_46_57_762.jpg,IMG_Turns/left_2017_02_21_23_46_57_762.jpg,IMG_Turns/right_2017_02_21_23_46_57_762.jpg,0,0,0,1.393677
IMG_Turns/center_2017_02_21_23_46_57_870.jpg,IMG_Turns/left_2017_02_21_23_46_57_870.jpg,IMG_Turns/right_2017_02_21_23_46_57_870.jpg,0,0,0,1.379689
IMG_Turns/center_2017_02_21_23_46_58_003.jpg,IMG_Turns/left_2017_02_21_23_46_58_003.jpg,IMG_Turns/right_2017_02_21_23_46_58_003.jpg,0,1,0,2.333138
IMG_Turns/center_2017_02_21_23_46_58_101.jpg,IMG_Turns/left_2017_02_21_23_46_58_101.jpg,IMG_Turns/right_2017_02_21_23_46_58_101.jpg,0,1,0,3.743499
IMG_Turns/center_2017_02_21_23_46_58_226.jpg,IMG_Turns/left_2017_02_21_23_46_58_226.jpg,IMG_Turns/right_2017_02_21_23_46_58_226.jpg,0,1,0,5.145388
IMG_Turns/center_2017_02_21_23_46_58_345.jpg,IMG_Turns/left_2017_02_21_23_46_58_345.jpg,IMG_Turns/right_2017_02_21_23_46_58_345.jpg,-0.1672718,1,0,6.522701
IMG_Turns/center_2017_02_21_23_46_58_460.jpg,IMG_Turns/left_2017_02_21_23_46_58_460.jpg,IMG_Turns/right_2017_02_21_23_46_58_460.jpg,-0.1479061,1,0,7.888503
IMG_Turns/center_2017_02_21_23_46_58_569.jpg,IMG_Turns/left_2017_02_21_23_46_58_569.jpg,IMG_Turns/right_2017_02_21_23_46_58_569.jpg,0,1,0,9.013886
IMG_Turns/center_2017_02_21_23_46_58_680.jpg,IMG_Turns/left_2017_02_21_23_46_58_680.jpg,IMG_Turns/right_2017_02_21_23_46_58_680.jpg,0,1,0,10.35243
IMG_Turns/center_2017_02_21_23_46_58_789.jpg,IMG_Turns/left_2017_02_21_23_46_58_789.jpg,IMG_Turns/right_2017_02_21_23_46_58_789.jpg,0,1,0,11.55524
IMG_Turns/center_2017_02_21_23_46_58_918.jpg,IMG_Turns/left_2017_02_21_23_46_58_918.jpg,IMG_Turns/right_2017_02_21_23_46_58_918.jpg,-0.02202855,1,0,12.52871
IMG_Turns/center_2017_02_21_23_46_59_029.jpg,IMG_Turns/left_2017_02_21_23_46_59_029.jpg,IMG_Turns/right_2017_02_21_23_46_59_029.jpg,-0.01234567,0.5642702,0,13.51992
IMG_Turns/center_2017_02_21_23_46_59_137.jpg,IMG_Turns/left_2017_02_21_23_46_59_137.jpg,IMG_Turns/right_2017_02_21_23_46_59_137.jpg,-0.01234567,0.3028322,0,14.08267
IMG_Turns/center_2017_02_21_23_46_59_246.jpg,IMG_Turns/left_2017_02_21_23_46_59_246.jpg,IMG_Turns/right_2017_02_21_23_46_59_246.jpg,-0.02202855,0.1188574,0,14.15462
IMG_Turns/center_2017_02_21_23_46_59_357.jpg,IMG_Turns/left_2017_02_21_23_46_59_357.jpg,IMG_Turns/right_2017_02_21_23_46_59_357.jpg,-0.04139432,0.07044297,0,13.82782
IMG_Turns/center_2017_02_21_23_46_59_464.jpg,IMG_Turns/left_2017_02_21_23_46_59_464.jpg,IMG_Turns/right_2017_02_21_23_46_59_464.jpg,-0.1866376,0.08012586,0,13.76009
IMG_Turns/center_2017_02_21_23_46_59_570.jpg,IMG_Turns/left_2017_02_21_23_46_59_570.jpg,IMG_Turns/right_2017_02_21_23_46_59_570.jpg,-0.1672718,0.09949163,0,13.961
